term,abbreviation,type,category,normal_min,normal_max,critical_low,critical_high,unit,frequency_score,icd10_code,cpt_code,snomed_id,explanation
Gastroesophageal Reflux Disease,GERD,disease,Gastrointestinal,,,,,,0.46,I95.5,,9683481,Common gastrointestinal disorder with significant impact on quality of life.
Chronic Kidney Disease,CKD,disease,Renal,,,,,,0.21,I38.1,,4860684,Pathological condition requiring ongoing monitoring and treatment.
Urinary Tract Infection,UTI,disease,Infectious,,,,,,0.3,I19.0,,,Health condition with specific diagnostic criteria and treatment protocols.
Complete Blood Count,CBC,procedure,Diagnostic,,,,,,0.87,,19287,5672073,Medical diagnostic procedure performed for diagnosis or treatment.
Computed Tomography Scan,CT,procedure,Diagnostic,,,,,,0.29,,27342,8930103,Healthcare procedure performed by trained medical professionals.
Magnetic Resonance Imaging,MRI,procedure,Diagnostic,,,,,,0.81,,63354,,Clinical intervention used to assess or treat medical conditions.
Electrocardiogram,ECG,procedure,Diagnostic,,,,,,0.69,,56438,8835373,Medical diagnostic procedure performed for diagnosis or treatment.
Colonoscopy,,procedure,Diagnostic,,,,,,0.71,,94696,,Medical diagnostic procedure performed for diagnosis or treatment.
Endoscopy,,procedure,Diagnostic,,,,,,0.76,,24322,,Healthcare procedure performed by trained medical professionals.
Coronary Angiography,Cath,procedure,Diagnostic,,,,,,0.58,,28373,5673212,Clinical intervention used to assess or treat medical conditions.
Biopsy,,procedure,Diagnostic,,,,,,0.32,,19880,2642635,Healthcare procedure performed by trained medical professionals.
Physical Therapy,PT,procedure,Rehabilitative,,,,,,0.69,,80855,2564689,Medical rehabilitative procedure performed for diagnosis or treatment.
Chemotherapy,Chemo,procedure,Therapeutic,,,,,,0.25,,73653,7728339,Clinical intervention used to assess or treat medical conditions.
Radiation Therapy,RT,procedure,Therapeutic,,,,,,0.25,,10282,5449368,Medical therapeutic procedure performed for diagnosis or treatment.
Vaccination,,procedure,Preventive,,,,,,0.36,,82845,9164991,Healthcare procedure performed by trained medical professionals.
Appendectomy,,procedure,Surgical,,,,,,0.27,,38534,2022698,Clinical intervention used to assess or treat medical conditions.
Cholecystectomy,,procedure,Surgical,,,,,,0.15,,86569,9910817,Standard medical surgical technique with established protocols.
Hernia Repair,,procedure,Surgical,,,,,,0.15,,76562,,Clinical intervention used to assess or treat medical conditions.
Cardiac Catheterization,,procedure,Diagnostic,,,,,,0.16,,18907,4946066,Clinical intervention used to assess or treat medical conditions.
Dialysis,,procedure,Therapeutic,,,,,,0.21,,84668,,Healthcare procedure performed by trained medical professionals.
Blood Transfusion,,procedure,Therapeutic,,,,,,0.14,,20745,9770838,Diagnostic or therapeutic medical intervention.
Bronchoscopy,,procedure,Diagnostic,,,,,,0.94,,36772,6271130,Standard medical diagnostic technique with established protocols.
Lumbar Puncture,LP,procedure,Diagnostic,,,,,,0.34,,27154,6033115,Clinical intervention used to assess or treat medical conditions.
Metformin,,medication,Antidiabetic,,,,,,0.38,,,2217071,Medication with established efficacy and safety profile.
Insulin,,medication,Antidiabetic,,,,,,0.51,,,2677407,Pharmaceutical drug used to treat antidiabetic conditions.
Lisinopril,,medication,Antihypertensive,,,,,,0.58,,,3222252,Pharmaceutical drug used to treat antihypertensive conditions.
Amlodipine,,medication,Antihypertensive,,,,,,0.89,,,7199635,Drug therapy for managing symptoms and progression of related conditions.
Atorvastatin,,medication,Antilipidemic,,,,,,0.24,,,6075395,Drug therapy for managing symptoms and progression of related conditions.
Aspirin,ASA,medication,Antiplatelet,,,,,,0.99,,,9874152,Pharmacological treatment option in clinical practice.
Warfarin,,medication,Anticoagulant,,,,,,0.7,,,2737893,Pharmaceutical drug used to treat anticoagulant conditions.
Levothyroxine,,medication,Endocrine,,,,,,0.34,,,3607983,Commonly prescribed medication with specific therapeutic indications.
Albuterol,,medication,Bronchodilator,,,,,,0.35,,,,Drug therapy for managing symptoms and progression of related conditions.
Ibuprofen,,medication,NSAID,,,,,,0.28,,,5428914,Drug therapy for managing symptoms and progression of related conditions.
Omeprazole,,medication,PPI,,,,,,0.54,,,1852264,Pharmacological treatment option in clinical practice.
Fluoxetine,,medication,SSRI,,,,,,0.67,,,1739653,Pharmaceutical drug used to treat ssri conditions.
Sertraline,,medication,SSRI,,,,,,0.4,,,,Pharmaceutical drug used to treat ssri conditions.
Amoxicillin,,medication,Antibiotic,,,,,,0.25,,,8175395,Drug therapy for managing symptoms and progression of related conditions.
Azithromycin,,medication,Antibiotic,,,,,,0.11,,,,Pharmacological treatment option in clinical practice.
Metoprolol,,medication,Beta-blocker,,,,,,0.59,,,3484601,Commonly prescribed medication with specific therapeutic indications.
Furosemide,,medication,Diuretic,,,,,,0.21,,,1669324,Medication with established efficacy and safety profile.
Hydrochlorothiazide,HCTZ,medication,Diuretic,,,,,,0.29,,,,Drug therapy for managing symptoms and progression of related conditions.
Prednisone,,medication,Corticosteroid,,,,,,0.42,,,7817881,Pharmaceutical drug used to treat corticosteroid conditions.
Clopidogrel,,medication,Antiplatelet,,,,,,0.77,,,4971793,Pharmacological treatment option in clinical practice.
Headache,,symptom,Acute,,,,,,0.98,I32.6,,,Symptom that may indicate underlying medical conditions.
Fever,,symptom,Acute,,,,,,0.8,I62.3,,,Patient-reported experience requiring medical evaluation.
Fatigue,,symptom,Chronic,,,,,,0.44,I14.7,,,Common clinical manifestation reported by patients.
Shortness of Breath,SOB,symptom,Acute,,,,,,0.41,I39.3,,,Clinical sign that guides diagnostic investigations.
Chest Pain,,symptom,Acute,,,,,,0.46,I45.1,,5682940,Symptom that may indicate underlying medical conditions.
Nausea,,symptom,Acute,,,,,,0.68,I61.8,,1463060,Patient-reported experience requiring medical evaluation.
Dizziness,,symptom,Acute,,,,,,0.89,I43.2,,5453786,Common clinical manifestation reported by patients.
Cough,,symptom,Chronic,,,,,,0.2,I65.5,,6262632,Common clinical manifestation reported by patients.
Joint Pain,Arthralgia,symptom,Chronic,,,,,,0.65,I75.1,,4188992,Clinical sign that guides diagnostic investigations.
Back Pain,,symptom,Chronic,,,,,,0.14,I65.0,,4305700,Patient-reported experience requiring medical evaluation.
Abdominal Pain,,symptom,Acute,,,,,,0.49,I95.5,,3090865,Patient-reported experience requiring medical evaluation.
Palpitations,,symptom,Acute,,,,,,0.56,I95.6,,5960271,Patient-reported experience requiring medical evaluation.
Rash,,symptom,Localized,,,,,,0.21,I63.6,,3919694,Common reason for healthcare consultation.
Weakness,,symptom,Systemic,,,,,,0.61,I61.8,,6098175,Common reason for healthcare consultation.
Constipation,,symptom,Chronic,,,,,,0.29,I84.9,,8801207,Patient-reported experience requiring medical evaluation.
Diarrhea,,symptom,Acute,,,,,,0.5,I37.8,,3846949,Clinical sign that guides diagnostic investigations.
Blurred Vision,,symptom,Acute,,,,,,0.36,I94.9,,4940441,Common clinical manifestation reported by patients.
Tinnitus,,symptom,Chronic,,,,,,0.3,I35.2,,,Patient-reported experience requiring medical evaluation.
Insomnia,,symptom,Chronic,,,,,,0.99,I88.1,,4262081,Symptom that may indicate underlying medical conditions.
Weight Loss,,symptom,Systemic,,,,,,0.54,I41.2,,1093026,Clinical sign that guides diagnostic investigations.
