question,answer,term,type,category,source
"Cholesterol Total trop élevé, que faire?","Cholesterol Total: Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 3.6-5.2 mmol/L.",Cholesterol Total,lab test,Biochemistry,augmented
"Cholesterol Total trop élevé, que faire?","Le test Cholesterol Total mesure measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 3.6 à 5.2 mmol/L.",Cholesterol Total,lab test,Biochemistry,augmented
Valeurs normales pour Low-Density Lipoprotein,Low-Density Lipoprotein: Quantitative analysis of low-density lipoprotein providing insights into physiological processes. Valeurs normales: 1.8-3.0 mmol/L.,Low-Density Lipoprotein,lab test,Biochemistry,augmented
Valeurs normales pour Low-Density Lipoprotein,Le test Low-Density Lipoprotein mesure quantitative analysis of low-density lipoprotein providing insights into physiological processes.. La plage normale est de 1.8 à 3.0 mmol/L.,Low-Density Lipoprotein,lab test,Biochemistry,augmented
Interprétation du test Low-Density Lipoprotein,Low-Density Lipoprotein: Quantitative analysis of low-density lipoprotein providing insights into physiological processes. Valeurs normales: 1.8-3.0 mmol/L.,Low-Density Lipoprotein,lab test,Biochemistry,augmented
Interprétation du test Low-Density Lipoprotein,Le test Low-Density Lipoprotein mesure quantitative analysis of low-density lipoprotein providing insights into physiological processes.. La plage normale est de 1.8 à 3.0 mmol/L.,Low-Density Lipoprotein,lab test,Biochemistry,augmented
"Low-Density Lipoprotein trop élevé, que faire?",Low-Density Lipoprotein: Quantitative analysis of low-density lipoprotein providing insights into physiological processes. Valeurs normales: 1.8-3.0 mmol/L.,Low-Density Lipoprotein,lab test,Biochemistry,augmented
"Low-Density Lipoprotein trop élevé, que faire?",Le test Low-Density Lipoprotein mesure quantitative analysis of low-density lipoprotein providing insights into physiological processes.. La plage normale est de 1.8 à 3.0 mmol/L.,Low-Density Lipoprotein,lab test,Biochemistry,augmented
Valeurs normales pour High-Density Lipoprotein,High-Density Lipoprotein: Clinical laboratory test measuring high-density lipoprotein levels to assess health status. Valeurs normales: 1.0-2.0 mmol/L.,High-Density Lipoprotein,lab test,Biochemistry,augmented
Valeurs normales pour High-Density Lipoprotein,Le test High-Density Lipoprotein mesure clinical laboratory test measuring high-density lipoprotein levels to assess health status.. La plage normale est de 1.0 à 2.0 mmol/L.,High-Density Lipoprotein,lab test,Biochemistry,augmented
Interprétation du test High-Density Lipoprotein,High-Density Lipoprotein: Clinical laboratory test measuring high-density lipoprotein levels to assess health status. Valeurs normales: 1.0-2.0 mmol/L.,High-Density Lipoprotein,lab test,Biochemistry,augmented
Interprétation du test High-Density Lipoprotein,Le test High-Density Lipoprotein mesure clinical laboratory test measuring high-density lipoprotein levels to assess health status.. La plage normale est de 1.0 à 2.0 mmol/L.,High-Density Lipoprotein,lab test,Biochemistry,augmented
"High-Density Lipoprotein trop élevé, que faire?",High-Density Lipoprotein: Clinical laboratory test measuring high-density lipoprotein levels to assess health status. Valeurs normales: 1.0-2.0 mmol/L.,High-Density Lipoprotein,lab test,Biochemistry,augmented
"High-Density Lipoprotein trop élevé, que faire?",Le test High-Density Lipoprotein mesure clinical laboratory test measuring high-density lipoprotein levels to assess health status.. La plage normale est de 1.0 à 2.0 mmol/L.,High-Density Lipoprotein,lab test,Biochemistry,augmented
Valeurs normales pour Triglycerides,"Triglycerides: Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 0.5-1.7 mmol/L.",Triglycerides,lab test,Biochemistry,augmented
Valeurs normales pour Triglycerides,"Le test Triglycerides mesure measurement of triglycerides in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 0.5 à 1.7 mmol/L.",Triglycerides,lab test,Biochemistry,augmented
Interprétation du test Triglycerides,"Triglycerides: Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 0.5-1.7 mmol/L.",Triglycerides,lab test,Biochemistry,augmented
Interprétation du test Triglycerides,"Le test Triglycerides mesure measurement of triglycerides in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 0.5 à 1.7 mmol/L.",Triglycerides,lab test,Biochemistry,augmented
"Triglycerides trop élevé, que faire?","Triglycerides: Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 0.5-1.7 mmol/L.",Triglycerides,lab test,Biochemistry,augmented
"Triglycerides trop élevé, que faire?","Le test Triglycerides mesure measurement of triglycerides in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 0.5 à 1.7 mmol/L.",Triglycerides,lab test,Biochemistry,augmented
Valeurs normales pour Fasting Blood Glucose,Fasting Blood Glucose: Standard blood test that helps detect abnormalities in biochemistry parameters. Valeurs normales: 3.9-5.6 mmol/L.,Fasting Blood Glucose,lab test,Biochemistry,augmented
Valeurs normales pour Fasting Blood Glucose,Le test Fasting Blood Glucose mesure standard blood test that helps detect abnormalities in biochemistry parameters.. La plage normale est de 3.9 à 5.6 mmol/L.,Fasting Blood Glucose,lab test,Biochemistry,augmented
Interprétation du test Fasting Blood Glucose,Fasting Blood Glucose: Standard blood test that helps detect abnormalities in biochemistry parameters. Valeurs normales: 3.9-5.6 mmol/L.,Fasting Blood Glucose,lab test,Biochemistry,augmented
Interprétation du test Fasting Blood Glucose,Le test Fasting Blood Glucose mesure standard blood test that helps detect abnormalities in biochemistry parameters.. La plage normale est de 3.9 à 5.6 mmol/L.,Fasting Blood Glucose,lab test,Biochemistry,augmented
"Fasting Blood Glucose trop élevé, que faire?",Fasting Blood Glucose: Standard blood test that helps detect abnormalities in biochemistry parameters. Valeurs normales: 3.9-5.6 mmol/L.,Fasting Blood Glucose,lab test,Biochemistry,augmented
"Fasting Blood Glucose trop élevé, que faire?",Le test Fasting Blood Glucose mesure standard blood test that helps detect abnormalities in biochemistry parameters.. La plage normale est de 3.9 à 5.6 mmol/L.,Fasting Blood Glucose,lab test,Biochemistry,augmented
Valeurs normales pour Hemoglobin A1c,Hemoglobin A1c: Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: 4.0-5.6 %.,Hemoglobin A1c,lab test,Endocrinology,augmented
Valeurs normales pour Hemoglobin A1c,Le test Hemoglobin A1c mesure important diagnostic marker for evaluating endocrinology function and disorders.. La plage normale est de 4.0 à 5.6 %.,Hemoglobin A1c,lab test,Endocrinology,augmented
Interprétation du test Hemoglobin A1c,Hemoglobin A1c: Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: 4.0-5.6 %.,Hemoglobin A1c,lab test,Endocrinology,augmented
Interprétation du test Hemoglobin A1c,Le test Hemoglobin A1c mesure important diagnostic marker for evaluating endocrinology function and disorders.. La plage normale est de 4.0 à 5.6 %.,Hemoglobin A1c,lab test,Endocrinology,augmented
"Hemoglobin A1c trop élevé, que faire?",Hemoglobin A1c: Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: 4.0-5.6 %.,Hemoglobin A1c,lab test,Endocrinology,augmented
"Hemoglobin A1c trop élevé, que faire?",Le test Hemoglobin A1c mesure important diagnostic marker for evaluating endocrinology function and disorders.. La plage normale est de 4.0 à 5.6 %.,Hemoglobin A1c,lab test,Endocrinology,augmented
Valeurs normales pour Thyroid Stimulating Hormone,Thyroid Stimulating Hormone: Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: 0.4-4.0 mIU/L.,Thyroid Stimulating Hormone,lab test,Endocrinology,augmented
Valeurs normales pour Thyroid Stimulating Hormone,Le test Thyroid Stimulating Hormone mesure important diagnostic marker for evaluating endocrinology function and disorders.. La plage normale est de 0.4 à 4.0 mIU/L.,Thyroid Stimulating Hormone,lab test,Endocrinology,augmented
Interprétation du test Thyroid Stimulating Hormone,Thyroid Stimulating Hormone: Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: 0.4-4.0 mIU/L.,Thyroid Stimulating Hormone,lab test,Endocrinology,augmented
Interprétation du test Thyroid Stimulating Hormone,Le test Thyroid Stimulating Hormone mesure important diagnostic marker for evaluating endocrinology function and disorders.. La plage normale est de 0.4 à 4.0 mIU/L.,Thyroid Stimulating Hormone,lab test,Endocrinology,augmented
"Thyroid Stimulating Hormone trop élevé, que faire?",Thyroid Stimulating Hormone: Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: 0.4-4.0 mIU/L.,Thyroid Stimulating Hormone,lab test,Endocrinology,augmented
"Thyroid Stimulating Hormone trop élevé, que faire?",Le test Thyroid Stimulating Hormone mesure important diagnostic marker for evaluating endocrinology function and disorders.. La plage normale est de 0.4 à 4.0 mIU/L.,Thyroid Stimulating Hormone,lab test,Endocrinology,augmented
Valeurs normales pour Free T4,Free T4: Quantitative analysis of free t4 providing insights into physiological processes. Valeurs normales: 10.0-20.0 pmol/L.,Free T4,lab test,Endocrinology,augmented
Valeurs normales pour Free T4,Le test Free T4 mesure quantitative analysis of free t4 providing insights into physiological processes.. La plage normale est de 10.0 à 20.0 pmol/L.,Free T4,lab test,Endocrinology,augmented
Interprétation du test Free T4,Free T4: Quantitative analysis of free t4 providing insights into physiological processes. Valeurs normales: 10.0-20.0 pmol/L.,Free T4,lab test,Endocrinology,augmented
Interprétation du test Free T4,Le test Free T4 mesure quantitative analysis of free t4 providing insights into physiological processes.. La plage normale est de 10.0 à 20.0 pmol/L.,Free T4,lab test,Endocrinology,augmented
"Free T4 trop élevé, que faire?",Free T4: Quantitative analysis of free t4 providing insights into physiological processes. Valeurs normales: 10.0-20.0 pmol/L.,Free T4,lab test,Endocrinology,augmented
"Free T4 trop élevé, que faire?",Le test Free T4 mesure quantitative analysis of free t4 providing insights into physiological processes.. La plage normale est de 10.0 à 20.0 pmol/L.,Free T4,lab test,Endocrinology,augmented
Valeurs normales pour C-Reactive Protein,C-Reactive Protein: Quantitative analysis of c-reactive protein providing insights into physiological processes. Valeurs normales: 0.0-5.0 mg/L.,C-Reactive Protein,lab test,Immunology,augmented
Valeurs normales pour C-Reactive Protein,Le test C-Reactive Protein mesure quantitative analysis of c-reactive protein providing insights into physiological processes.. La plage normale est de 0.0 à 5.0 mg/L.,C-Reactive Protein,lab test,Immunology,augmented
Interprétation du test C-Reactive Protein,C-Reactive Protein: Quantitative analysis of c-reactive protein providing insights into physiological processes. Valeurs normales: 0.0-5.0 mg/L.,C-Reactive Protein,lab test,Immunology,augmented
Interprétation du test C-Reactive Protein,Le test C-Reactive Protein mesure quantitative analysis of c-reactive protein providing insights into physiological processes.. La plage normale est de 0.0 à 5.0 mg/L.,C-Reactive Protein,lab test,Immunology,augmented
"C-Reactive Protein trop élevé, que faire?",C-Reactive Protein: Quantitative analysis of c-reactive protein providing insights into physiological processes. Valeurs normales: 0.0-5.0 mg/L.,C-Reactive Protein,lab test,Immunology,augmented
"C-Reactive Protein trop élevé, que faire?",Le test C-Reactive Protein mesure quantitative analysis of c-reactive protein providing insights into physiological processes.. La plage normale est de 0.0 à 5.0 mg/L.,C-Reactive Protein,lab test,Immunology,augmented
Valeurs normales pour Erythrocyte Sedimentation Rate,Erythrocyte Sedimentation Rate: Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes. Valeurs normales: 0.0-20.0 mm/hr.,Erythrocyte Sedimentation Rate,lab test,Hematology,augmented
Valeurs normales pour Erythrocyte Sedimentation Rate,Le test Erythrocyte Sedimentation Rate mesure quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.. La plage normale est de 0.0 à 20.0 mm/hr.,Erythrocyte Sedimentation Rate,lab test,Hematology,augmented
Interprétation du test Erythrocyte Sedimentation Rate,Erythrocyte Sedimentation Rate: Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes. Valeurs normales: 0.0-20.0 mm/hr.,Erythrocyte Sedimentation Rate,lab test,Hematology,augmented
Interprétation du test Erythrocyte Sedimentation Rate,Le test Erythrocyte Sedimentation Rate mesure quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.. La plage normale est de 0.0 à 20.0 mm/hr.,Erythrocyte Sedimentation Rate,lab test,Hematology,augmented
"Erythrocyte Sedimentation Rate trop élevé, que faire?",Erythrocyte Sedimentation Rate: Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes. Valeurs normales: 0.0-20.0 mm/hr.,Erythrocyte Sedimentation Rate,lab test,Hematology,augmented
"Erythrocyte Sedimentation Rate trop élevé, que faire?",Le test Erythrocyte Sedimentation Rate mesure quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.. La plage normale est de 0.0 à 20.0 mm/hr.,Erythrocyte Sedimentation Rate,lab test,Hematology,augmented
Valeurs normales pour Creatinine,Creatinine: Clinical laboratory test measuring creatinine levels to assess health status. Valeurs normales: 62.0-106.0 μmol/L.,Creatinine,lab test,Biochemistry,augmented
Valeurs normales pour Creatinine,Le test Creatinine mesure clinical laboratory test measuring creatinine levels to assess health status.. La plage normale est de 62.0 à 106.0 μmol/L.,Creatinine,lab test,Biochemistry,augmented
Interprétation du test Creatinine,Creatinine: Clinical laboratory test measuring creatinine levels to assess health status. Valeurs normales: 62.0-106.0 μmol/L.,Creatinine,lab test,Biochemistry,augmented
Interprétation du test Creatinine,Le test Creatinine mesure clinical laboratory test measuring creatinine levels to assess health status.. La plage normale est de 62.0 à 106.0 μmol/L.,Creatinine,lab test,Biochemistry,augmented
"Creatinine trop élevé, que faire?",Creatinine: Clinical laboratory test measuring creatinine levels to assess health status. Valeurs normales: 62.0-106.0 μmol/L.,Creatinine,lab test,Biochemistry,augmented
"Creatinine trop élevé, que faire?",Le test Creatinine mesure clinical laboratory test measuring creatinine levels to assess health status.. La plage normale est de 62.0 à 106.0 μmol/L.,Creatinine,lab test,Biochemistry,augmented
Valeurs normales pour Blood Urea Nitrogen,"Blood Urea Nitrogen: Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 2.5-7.1 mmol/L.",Blood Urea Nitrogen,lab test,Biochemistry,augmented
Valeurs normales pour Blood Urea Nitrogen,"Le test Blood Urea Nitrogen mesure measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 2.5 à 7.1 mmol/L.",Blood Urea Nitrogen,lab test,Biochemistry,augmented
Interprétation du test Blood Urea Nitrogen,"Blood Urea Nitrogen: Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 2.5-7.1 mmol/L.",Blood Urea Nitrogen,lab test,Biochemistry,augmented
Interprétation du test Blood Urea Nitrogen,"Le test Blood Urea Nitrogen mesure measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 2.5 à 7.1 mmol/L.",Blood Urea Nitrogen,lab test,Biochemistry,augmented
"Blood Urea Nitrogen trop élevé, que faire?","Blood Urea Nitrogen: Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions. Valeurs normales: 2.5-7.1 mmol/L.",Blood Urea Nitrogen,lab test,Biochemistry,augmented
"Blood Urea Nitrogen trop élevé, que faire?","Le test Blood Urea Nitrogen mesure measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions.. La plage normale est de 2.5 à 7.1 mmol/L.",Blood Urea Nitrogen,lab test,Biochemistry,augmented
Valeurs normales pour Sodium,Sodium: Clinical laboratory test measuring sodium levels to assess health status. Valeurs normales: 135.0-145.0 mmol/L.,Sodium,lab test,Biochemistry,augmented
Valeurs normales pour Sodium,Le test Sodium mesure clinical laboratory test measuring sodium levels to assess health status.. La plage normale est de 135.0 à 145.0 mmol/L.,Sodium,lab test,Biochemistry,augmented
Interprétation du test Sodium,Sodium: Clinical laboratory test measuring sodium levels to assess health status. Valeurs normales: 135.0-145.0 mmol/L.,Sodium,lab test,Biochemistry,augmented
Interprétation du test Sodium,Le test Sodium mesure clinical laboratory test measuring sodium levels to assess health status.. La plage normale est de 135.0 à 145.0 mmol/L.,Sodium,lab test,Biochemistry,augmented
"Sodium trop élevé, que faire?",Sodium: Clinical laboratory test measuring sodium levels to assess health status. Valeurs normales: 135.0-145.0 mmol/L.,Sodium,lab test,Biochemistry,augmented
"Sodium trop élevé, que faire?",Le test Sodium mesure clinical laboratory test measuring sodium levels to assess health status.. La plage normale est de 135.0 à 145.0 mmol/L.,Sodium,lab test,Biochemistry,augmented
Valeurs normales pour Potassium,Potassium: Important diagnostic marker for evaluating biochemistry function and disorders. Valeurs normales: 3.5-5.0 mmol/L.,Potassium,lab test,Biochemistry,augmented
Valeurs normales pour Potassium,Le test Potassium mesure important diagnostic marker for evaluating biochemistry function and disorders.. La plage normale est de 3.5 à 5.0 mmol/L.,Potassium,lab test,Biochemistry,augmented
Interprétation du test Potassium,Potassium: Important diagnostic marker for evaluating biochemistry function and disorders. Valeurs normales: 3.5-5.0 mmol/L.,Potassium,lab test,Biochemistry,augmented
Interprétation du test Potassium,Le test Potassium mesure important diagnostic marker for evaluating biochemistry function and disorders.. La plage normale est de 3.5 à 5.0 mmol/L.,Potassium,lab test,Biochemistry,augmented
"Potassium trop élevé, que faire?",Potassium: Important diagnostic marker for evaluating biochemistry function and disorders. Valeurs normales: 3.5-5.0 mmol/L.,Potassium,lab test,Biochemistry,augmented
"Potassium trop élevé, que faire?",Le test Potassium mesure important diagnostic marker for evaluating biochemistry function and disorders.. La plage normale est de 3.5 à 5.0 mmol/L.,Potassium,lab test,Biochemistry,augmented
Valeurs normales pour Alanine Aminotransferase,Alanine Aminotransferase: Quantitative analysis of alanine aminotransferase providing insights into physiological processes. Valeurs normales: 7.0-56.0 U/L.,Alanine Aminotransferase,lab test,Biochemistry,augmented
Valeurs normales pour Alanine Aminotransferase,Le test Alanine Aminotransferase mesure quantitative analysis of alanine aminotransferase providing insights into physiological processes.. La plage normale est de 7.0 à 56.0 U/L.,Alanine Aminotransferase,lab test,Biochemistry,augmented
Interprétation du test Alanine Aminotransferase,Alanine Aminotransferase: Quantitative analysis of alanine aminotransferase providing insights into physiological processes. Valeurs normales: 7.0-56.0 U/L.,Alanine Aminotransferase,lab test,Biochemistry,augmented
Interprétation du test Alanine Aminotransferase,Le test Alanine Aminotransferase mesure quantitative analysis of alanine aminotransferase providing insights into physiological processes.. La plage normale est de 7.0 à 56.0 U/L.,Alanine Aminotransferase,lab test,Biochemistry,augmented
"Alanine Aminotransferase trop élevé, que faire?",Alanine Aminotransferase: Quantitative analysis of alanine aminotransferase providing insights into physiological processes. Valeurs normales: 7.0-56.0 U/L.,Alanine Aminotransferase,lab test,Biochemistry,augmented
"Alanine Aminotransferase trop élevé, que faire?",Le test Alanine Aminotransferase mesure quantitative analysis of alanine aminotransferase providing insights into physiological processes.. La plage normale est de 7.0 à 56.0 U/L.,Alanine Aminotransferase,lab test,Biochemistry,augmented
Valeurs normales pour Aspartate Aminotransferase,Aspartate Aminotransferase: Clinical laboratory test measuring aspartate aminotransferase levels to assess health status. Valeurs normales: 10.0-40.0 U/L.,Aspartate Aminotransferase,lab test,Biochemistry,augmented
Valeurs normales pour Aspartate Aminotransferase,Le test Aspartate Aminotransferase mesure clinical laboratory test measuring aspartate aminotransferase levels to assess health status.. La plage normale est de 10.0 à 40.0 U/L.,Aspartate Aminotransferase,lab test,Biochemistry,augmented
Interprétation du test Aspartate Aminotransferase,Aspartate Aminotransferase: Clinical laboratory test measuring aspartate aminotransferase levels to assess health status. Valeurs normales: 10.0-40.0 U/L.,Aspartate Aminotransferase,lab test,Biochemistry,augmented
Interprétation du test Aspartate Aminotransferase,Le test Aspartate Aminotransferase mesure clinical laboratory test measuring aspartate aminotransferase levels to assess health status.. La plage normale est de 10.0 à 40.0 U/L.,Aspartate Aminotransferase,lab test,Biochemistry,augmented
"Aspartate Aminotransferase trop élevé, que faire?",Aspartate Aminotransferase: Clinical laboratory test measuring aspartate aminotransferase levels to assess health status. Valeurs normales: 10.0-40.0 U/L.,Aspartate Aminotransferase,lab test,Biochemistry,augmented
"Aspartate Aminotransferase trop élevé, que faire?",Le test Aspartate Aminotransferase mesure clinical laboratory test measuring aspartate aminotransferase levels to assess health status.. La plage normale est de 10.0 à 40.0 U/L.,Aspartate Aminotransferase,lab test,Biochemistry,augmented
Valeurs normales pour Alkaline Phosphatase,Alkaline Phosphatase: Quantitative analysis of alkaline phosphatase providing insights into physiological processes. Valeurs normales: 44.0-147.0 U/L.,Alkaline Phosphatase,lab test,Biochemistry,augmented
Valeurs normales pour Alkaline Phosphatase,Le test Alkaline Phosphatase mesure quantitative analysis of alkaline phosphatase providing insights into physiological processes.. La plage normale est de 44.0 à 147.0 U/L.,Alkaline Phosphatase,lab test,Biochemistry,augmented
Interprétation du test Alkaline Phosphatase,Alkaline Phosphatase: Quantitative analysis of alkaline phosphatase providing insights into physiological processes. Valeurs normales: 44.0-147.0 U/L.,Alkaline Phosphatase,lab test,Biochemistry,augmented
Interprétation du test Alkaline Phosphatase,Le test Alkaline Phosphatase mesure quantitative analysis of alkaline phosphatase providing insights into physiological processes.. La plage normale est de 44.0 à 147.0 U/L.,Alkaline Phosphatase,lab test,Biochemistry,augmented
"Alkaline Phosphatase trop élevé, que faire?",Alkaline Phosphatase: Quantitative analysis of alkaline phosphatase providing insights into physiological processes. Valeurs normales: 44.0-147.0 U/L.,Alkaline Phosphatase,lab test,Biochemistry,augmented
"Alkaline Phosphatase trop élevé, que faire?",Le test Alkaline Phosphatase mesure quantitative analysis of alkaline phosphatase providing insights into physiological processes.. La plage normale est de 44.0 à 147.0 U/L.,Alkaline Phosphatase,lab test,Biochemistry,augmented
Symptômes du Hypertension,"Hypertension: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Hypertension,disease,Cardiovascular,augmented
Symptômes du Hypertension,"En médecine, Hypertension se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Hypertension,disease,Cardiovascular,augmented
Traitement de Hypertension,"Hypertension: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Hypertension,disease,Cardiovascular,augmented
Traitement de Hypertension,"En médecine, Hypertension se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Hypertension,disease,Cardiovascular,augmented
Causes de Hypertension,"Hypertension: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Hypertension,disease,Cardiovascular,augmented
Causes de Hypertension,"En médecine, Hypertension se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Hypertension,disease,Cardiovascular,augmented
Symptômes du Type 2 Diabetes Mellitus,"Type 2 Diabetes Mellitus: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Type 2 Diabetes Mellitus,disease,Endocrinology,augmented
Symptômes du Type 2 Diabetes Mellitus,"En médecine, Type 2 Diabetes Mellitus se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Type 2 Diabetes Mellitus,disease,Endocrinology,augmented
Traitement de Type 2 Diabetes Mellitus,"Type 2 Diabetes Mellitus: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Type 2 Diabetes Mellitus,disease,Endocrinology,augmented
Traitement de Type 2 Diabetes Mellitus,"En médecine, Type 2 Diabetes Mellitus se réfère à: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Type 2 Diabetes Mellitus,disease,Endocrinology,augmented
Causes de Type 2 Diabetes Mellitus,"Type 2 Diabetes Mellitus: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication.",Type 2 Diabetes Mellitus,disease,Endocrinology,augmented
