term,abbreviation,type,category,normal_min,normal_max,critical_low,critical_high,unit,frequency_score,icd10_code,cpt_code,snomed_id,explanation
Cholestérol total,TC_syn,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.3,,,1445199.0,"Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions."
CT,TC_syn,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.3,,,1445199.0,"Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions."
Cholesterol Total,TC,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.24,,,1445199.0,"Résultat de Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions. indique Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions."
Cholesterol Total,TC,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.24,,,1445199.0,"Analyse sanguine: Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions. Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions."
Cholesterol Total,TC,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.3,,,1445199.0,"Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions. Plage de référence: 3.6-5.2 mmol/L"
Cholesterol Total,TC,lab test,Biochemistry,3.6,5.2,,6.2,mmol/L,0.3,,,1445199.0,"Measurement of cholesterol total in blood, used for diagnosing and monitoring various conditions. Valeurs normales: entre 3.6 et 5.2 mmol/L"
Low-Density Lipoprotein,LDL,lab test,Biochemistry,1.8,3.0,,4.9,mmol/L,0.28,,,8038374.0,Quantitative analysis of low-density lipoprotein providing insights into physiological processes.
Low-Density Lipoprotein (variante),LDL_syn,lab test,Biochemistry,1.8,3.0,,4.9,mmol/L,0.28,,,8038374.0,Quantitative analysis of low-density lipoprotein providing insights into physiological processes.
Low-Density Lipoprotein,LDL,lab test,Biochemistry,1.8,3.0,,4.9,mmol/L,0.22400000000000003,,,8038374.0,Quantitative analysis of low-density lipoprotein providing insights into physiological processes. - examen de laboratoire Quantitative analysis of low-density lipoprotein providing insights into physiological processes.
Low-Density Lipoprotein,LDL,lab test,Biochemistry,1.8,3.0,,4.9,mmol/L,0.22400000000000003,,,8038374.0,Analyse sanguine: Quantitative analysis of low-density lipoprotein providing insights into physiological processes. Quantitative analysis of low-density lipoprotein providing insights into physiological processes.
Low-Density Lipoprotein,LDL,lab test,Biochemistry,1.8,3.0,,4.9,mmol/L,0.28,,,8038374.0,Quantitative analysis of low-density lipoprotein providing insights into physiological processes. Plage de référence: 1.8-3.0 mmol/L
Low-Density Lipoprotein,LDL,lab test,Biochemistry,1.8,3.0,,4.9,mmol/L,0.28,,,8038374.0,Quantitative analysis of low-density lipoprotein providing insights into physiological processes. Valeurs normales: entre 1.8 et 3.0 mmol/L
High-Density Lipoprotein,HDL,lab test,Biochemistry,1.0,2.0,0.4,,mmol/L,0.5,,,,Clinical laboratory test measuring high-density lipoprotein levels to assess health status.
High-Density Lipoprotein (variante),HDL_syn,lab test,Biochemistry,1.0,2.0,0.4,,mmol/L,0.5,,,,Clinical laboratory test measuring high-density lipoprotein levels to assess health status.
High-Density Lipoprotein,HDL,lab test,Biochemistry,1.0,2.0,0.4,,mmol/L,0.4,,,,Analyse sanguine: Clinical laboratory test measuring high-density lipoprotein levels to assess health status. Clinical laboratory test measuring high-density lipoprotein levels to assess health status.
High-Density Lipoprotein,HDL,lab test,Biochemistry,1.0,2.0,0.4,,mmol/L,0.4,,,,Clinical laboratory test measuring high-density lipoprotein levels to assess health status. - examen de laboratoire Clinical laboratory test measuring high-density lipoprotein levels to assess health status.
High-Density Lipoprotein,HDL,lab test,Biochemistry,1.0,2.0,0.4,,mmol/L,0.5,,,,Clinical laboratory test measuring high-density lipoprotein levels to assess health status. Plage de référence: 1.0-2.0 mmol/L
High-Density Lipoprotein,HDL,lab test,Biochemistry,1.0,2.0,0.4,,mmol/L,0.5,,,,Clinical laboratory test measuring high-density lipoprotein levels to assess health status. Valeurs normales: entre 1.0 et 2.0 mmol/L
Triglycerides,TG,lab test,Biochemistry,0.5,1.7,,5.6,mmol/L,0.78,,,,"Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions."
Triglycerides (variante),TG_syn,lab test,Biochemistry,0.5,1.7,,5.6,mmol/L,0.78,,,,"Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions."
Triglycerides,TG,lab test,Biochemistry,0.5,1.7,,5.6,mmol/L,0.6240000000000001,,,,"Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions. - examen de laboratoire Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions."
Triglycerides,TG,lab test,Biochemistry,0.5,1.7,,5.6,mmol/L,0.6240000000000001,,,,"Résultat de Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions. indique Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions."
Triglycerides,TG,lab test,Biochemistry,0.5,1.7,,5.6,mmol/L,0.78,,,,"Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions. Plage de référence: 0.5-1.7 mmol/L"
Triglycerides,TG,lab test,Biochemistry,0.5,1.7,,5.6,mmol/L,0.78,,,,"Measurement of triglycerides in blood, used for diagnosing and monitoring various conditions. Valeurs normales: entre 0.5 et 1.7 mmol/L"
Fasting Blood Glucose,FBG,lab test,Biochemistry,3.9,5.6,2.8,16.7,mmol/L,0.41,,,,Standard blood test that helps detect abnormalities in biochemistry parameters.
Fasting Blood Glucose (variante),FBG_syn,lab test,Biochemistry,3.9,5.6,2.8,16.7,mmol/L,0.41,,,,Standard blood test that helps detect abnormalities in biochemistry parameters.
Fasting Blood Glucose,FBG,lab test,Biochemistry,3.9,5.6,2.8,16.7,mmol/L,0.328,,,,Résultat de Standard blood test that helps detect abnormalities in biochemistry parameters. indique Standard blood test that helps detect abnormalities in biochemistry parameters.
Fasting Blood Glucose,FBG,lab test,Biochemistry,3.9,5.6,2.8,16.7,mmol/L,0.328,,,,Le test Standard blood test that helps detect abnormalities in biochemistry parameters. mesure Standard blood test that helps detect abnormalities in biochemistry parameters.
Fasting Blood Glucose,FBG,lab test,Biochemistry,3.9,5.6,2.8,16.7,mmol/L,0.41,,,,Standard blood test that helps detect abnormalities in biochemistry parameters. Plage de référence: 3.9-5.6 mmol/L
Fasting Blood Glucose,FBG,lab test,Biochemistry,3.9,5.6,2.8,16.7,mmol/L,0.41,,,,Standard blood test that helps detect abnormalities in biochemistry parameters. Valeurs normales: entre 3.9 et 5.6 mmol/L
Hemoglobin A1c,HbA1c,lab test,Endocrinology,4.0,5.6,,9.0,%,0.19,,,7022674.0,Important diagnostic marker for evaluating endocrinology function and disorders.
Hemoglobin A1c (variante),HbA1c_syn,lab test,Endocrinology,4.0,5.6,,9.0,%,0.19,,,7022674.0,Important diagnostic marker for evaluating endocrinology function and disorders.
Hemoglobin A1c,HbA1c,lab test,Endocrinology,4.0,5.6,,9.0,%,0.15200000000000002,,,7022674.0,Interprétation clinique du Important diagnostic marker for evaluating endocrinology function and disorders. Important diagnostic marker for evaluating endocrinology function and disorders.
Hemoglobin A1c,HbA1c,lab test,Endocrinology,4.0,5.6,,9.0,%,0.15200000000000002,,,7022674.0,Valeur de référence pour Important diagnostic marker for evaluating endocrinology function and disorders. Important diagnostic marker for evaluating endocrinology function and disorders.
Hemoglobin A1c,HbA1c,lab test,Endocrinology,4.0,5.6,,9.0,%,0.19,,,7022674.0,Important diagnostic marker for evaluating endocrinology function and disorders. Plage de référence: 4.0-5.6 %
Hemoglobin A1c,HbA1c,lab test,Endocrinology,4.0,5.6,,9.0,%,0.19,,,7022674.0,Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: entre 4.0 et 5.6 %
Thyroid Stimulating Hormone,TSH,lab test,Endocrinology,0.4,4.0,0.01,10.0,mIU/L,0.64,,,8707870.0,Important diagnostic marker for evaluating endocrinology function and disorders.
Thyroid Stimulating Hormone (variante),TSH_syn,lab test,Endocrinology,0.4,4.0,0.01,10.0,mIU/L,0.64,,,8707870.0,Important diagnostic marker for evaluating endocrinology function and disorders.
Thyroid Stimulating Hormone,TSH,lab test,Endocrinology,0.4,4.0,0.01,10.0,mIU/L,0.512,,,8707870.0,Le test Important diagnostic marker for evaluating endocrinology function and disorders. mesure Important diagnostic marker for evaluating endocrinology function and disorders.
Thyroid Stimulating Hormone,TSH,lab test,Endocrinology,0.4,4.0,0.01,10.0,mIU/L,0.64,,,8707870.0,Important diagnostic marker for evaluating endocrinology function and disorders. Plage de référence: 0.4-4.0 mIU/L
Thyroid Stimulating Hormone,TSH,lab test,Endocrinology,0.4,4.0,0.01,10.0,mIU/L,0.64,,,8707870.0,Important diagnostic marker for evaluating endocrinology function and disorders. Valeurs normales: entre 0.4 et 4.0 mIU/L
Free T4,FT4,lab test,Endocrinology,10.0,20.0,5.0,30.0,pmol/L,0.21,,,2322047.0,Quantitative analysis of free t4 providing insights into physiological processes.
Free T4 (variante),FT4_syn,lab test,Endocrinology,10.0,20.0,5.0,30.0,pmol/L,0.21,,,2322047.0,Quantitative analysis of free t4 providing insights into physiological processes.
Free T4,FT4,lab test,Endocrinology,10.0,20.0,5.0,30.0,pmol/L,0.168,,,2322047.0,Quantitative analysis of free t4 providing insights into physiological processes. - examen de laboratoire Quantitative analysis of free t4 providing insights into physiological processes.
Free T4,FT4,lab test,Endocrinology,10.0,20.0,5.0,30.0,pmol/L,0.168,,,2322047.0,Le test Quantitative analysis of free t4 providing insights into physiological processes. mesure Quantitative analysis of free t4 providing insights into physiological processes.
Free T4,FT4,lab test,Endocrinology,10.0,20.0,5.0,30.0,pmol/L,0.21,,,2322047.0,Quantitative analysis of free t4 providing insights into physiological processes. Plage de référence: 10.0-20.0 pmol/L
Free T4,FT4,lab test,Endocrinology,10.0,20.0,5.0,30.0,pmol/L,0.21,,,2322047.0,Quantitative analysis of free t4 providing insights into physiological processes. Valeurs normales: entre 10.0 et 20.0 pmol/L
C-Reactive Protein,CRP,lab test,Immunology,0.0,5.0,,100.0,mg/L,0.36,,,7067228.0,Quantitative analysis of c-reactive protein providing insights into physiological processes.
C-Reactive Protein (variante),CRP_syn,lab test,Immunology,0.0,5.0,,100.0,mg/L,0.36,,,7067228.0,Quantitative analysis of c-reactive protein providing insights into physiological processes.
C-Reactive Protein,CRP,lab test,Immunology,0.0,5.0,,100.0,mg/L,0.288,,,7067228.0,Résultat de Quantitative analysis of c-reactive protein providing insights into physiological processes. indique Quantitative analysis of c-reactive protein providing insights into physiological processes.
C-Reactive Protein,CRP,lab test,Immunology,0.0,5.0,,100.0,mg/L,0.288,,,7067228.0,Interprétation clinique du Quantitative analysis of c-reactive protein providing insights into physiological processes. Quantitative analysis of c-reactive protein providing insights into physiological processes.
C-Reactive Protein,CRP,lab test,Immunology,0.0,5.0,,100.0,mg/L,0.36,,,7067228.0,Quantitative analysis of c-reactive protein providing insights into physiological processes. Plage de référence: 0.0-5.0 mg/L
C-Reactive Protein,CRP,lab test,Immunology,0.0,5.0,,100.0,mg/L,0.36,,,7067228.0,Quantitative analysis of c-reactive protein providing insights into physiological processes. Valeurs normales: entre 0.0 et 5.0 mg/L
Erythrocyte Sedimentation Rate,ESR,lab test,Hematology,0.0,20.0,,100.0,mm/hr,0.27,,,,Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.
Erythrocyte Sedimentation Rate (variante),ESR_syn,lab test,Hematology,0.0,20.0,,100.0,mm/hr,0.27,,,,Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.
Erythrocyte Sedimentation Rate,ESR,lab test,Hematology,0.0,20.0,,100.0,mm/hr,0.21600000000000003,,,,Valeur de référence pour Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes. Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.
Erythrocyte Sedimentation Rate,ESR,lab test,Hematology,0.0,20.0,,100.0,mm/hr,0.21600000000000003,,,,Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes. - examen de laboratoire Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes.
Erythrocyte Sedimentation Rate,ESR,lab test,Hematology,0.0,20.0,,100.0,mm/hr,0.27,,,,Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes. Plage de référence: 0.0-20.0 mm/hr
Erythrocyte Sedimentation Rate,ESR,lab test,Hematology,0.0,20.0,,100.0,mm/hr,0.27,,,,Quantitative analysis of erythrocyte sedimentation rate providing insights into physiological processes. Valeurs normales: entre 0.0 et 20.0 mm/hr
Creatinine,Cr,lab test,Biochemistry,62.0,106.0,,530.0,μmol/L,0.8,,,4905582.0,Clinical laboratory test measuring creatinine levels to assess health status.
Creatinine (variante),Cr_syn,lab test,Biochemistry,62.0,106.0,,530.0,μmol/L,0.8,,,4905582.0,Clinical laboratory test measuring creatinine levels to assess health status.
Creatinine,Cr,lab test,Biochemistry,62.0,106.0,,530.0,μmol/L,0.6400000000000001,,,4905582.0,Valeur de référence pour Clinical laboratory test measuring creatinine levels to assess health status. Clinical laboratory test measuring creatinine levels to assess health status.
Creatinine,Cr,lab test,Biochemistry,62.0,106.0,,530.0,μmol/L,0.6400000000000001,,,4905582.0,Analyse sanguine: Clinical laboratory test measuring creatinine levels to assess health status. Clinical laboratory test measuring creatinine levels to assess health status.
Creatinine,Cr,lab test,Biochemistry,62.0,106.0,,530.0,μmol/L,0.8,,,4905582.0,Clinical laboratory test measuring creatinine levels to assess health status. Plage de référence: 62.0-106.0 μmol/L
Creatinine,Cr,lab test,Biochemistry,62.0,106.0,,530.0,μmol/L,0.8,,,4905582.0,Clinical laboratory test measuring creatinine levels to assess health status. Valeurs normales: entre 62.0 et 106.0 μmol/L
Blood Urea Nitrogen,BUN,lab test,Biochemistry,2.5,7.1,,35.7,mmol/L,0.44,,,7120868.0,"Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions."
Blood Urea Nitrogen (variante),BUN_syn,lab test,Biochemistry,2.5,7.1,,35.7,mmol/L,0.44,,,7120868.0,"Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions."
Blood Urea Nitrogen,BUN,lab test,Biochemistry,2.5,7.1,,35.7,mmol/L,0.35200000000000004,,,7120868.0,"Résultat de Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions. indique Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions."
Blood Urea Nitrogen,BUN,lab test,Biochemistry,2.5,7.1,,35.7,mmol/L,0.35200000000000004,,,7120868.0,"Interprétation clinique du Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions. Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions."
Blood Urea Nitrogen,BUN,lab test,Biochemistry,2.5,7.1,,35.7,mmol/L,0.44,,,7120868.0,"Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions. Plage de référence: 2.5-7.1 mmol/L"
Blood Urea Nitrogen,BUN,lab test,Biochemistry,2.5,7.1,,35.7,mmol/L,0.44,,,7120868.0,"Measurement of blood urea nitrogen in blood, used for diagnosing and monitoring various conditions. Valeurs normales: entre 2.5 et 7.1 mmol/L"
Sodium,Na,lab test,Biochemistry,135.0,145.0,120.0,160.0,mmol/L,0.43,,,,Clinical laboratory test measuring sodium levels to assess health status.
Sodium (variante),Na_syn,lab test,Biochemistry,135.0,145.0,120.0,160.0,mmol/L,0.43,,,,Clinical laboratory test measuring sodium levels to assess health status.
Sodium,Na,lab test,Biochemistry,135.0,145.0,120.0,160.0,mmol/L,0.34400000000000003,,,,Clinical laboratory test measuring sodium levels to assess health status. - examen de laboratoire Clinical laboratory test measuring sodium levels to assess health status.
Sodium,Na,lab test,Biochemistry,135.0,145.0,120.0,160.0,mmol/L,0.43,,,,Clinical laboratory test measuring sodium levels to assess health status. Plage de référence: 135.0-145.0 mmol/L
Sodium,Na,lab test,Biochemistry,135.0,145.0,120.0,160.0,mmol/L,0.43,,,,Clinical laboratory test measuring sodium levels to assess health status. Valeurs normales: entre 135.0 et 145.0 mmol/L
Potassium,K,lab test,Biochemistry,3.5,5.0,2.5,6.5,mmol/L,0.73,,,2197935.0,Important diagnostic marker for evaluating biochemistry function and disorders.
Potassium (variante),K_syn,lab test,Biochemistry,3.5,5.0,2.5,6.5,mmol/L,0.73,,,2197935.0,Important diagnostic marker for evaluating biochemistry function and disorders.
Potassium,K,lab test,Biochemistry,3.5,5.0,2.5,6.5,mmol/L,0.584,,,2197935.0,Résultat de Important diagnostic marker for evaluating biochemistry function and disorders. indique Important diagnostic marker for evaluating biochemistry function and disorders.
Potassium,K,lab test,Biochemistry,3.5,5.0,2.5,6.5,mmol/L,0.584,,,2197935.0,Valeur de référence pour Important diagnostic marker for evaluating biochemistry function and disorders. Important diagnostic marker for evaluating biochemistry function and disorders.
Potassium,K,lab test,Biochemistry,3.5,5.0,2.5,6.5,mmol/L,0.73,,,2197935.0,Important diagnostic marker for evaluating biochemistry function and disorders. Plage de référence: 3.5-5.0 mmol/L
Potassium,K,lab test,Biochemistry,3.5,5.0,2.5,6.5,mmol/L,0.73,,,2197935.0,Important diagnostic marker for evaluating biochemistry function and disorders. Valeurs normales: entre 3.5 et 5.0 mmol/L
Alanine Aminotransferase,ALT,lab test,Biochemistry,7.0,56.0,,300.0,U/L,0.67,,,5107245.0,Quantitative analysis of alanine aminotransferase providing insights into physiological processes.
Alanine Aminotransferase (variante),ALT_syn,lab test,Biochemistry,7.0,56.0,,300.0,U/L,0.67,,,5107245.0,Quantitative analysis of alanine aminotransferase providing insights into physiological processes.
Alanine Aminotransferase,ALT,lab test,Biochemistry,7.0,56.0,,300.0,U/L,0.536,,,5107245.0,Interprétation clinique du Quantitative analysis of alanine aminotransferase providing insights into physiological processes. Quantitative analysis of alanine aminotransferase providing insights into physiological processes.
Alanine Aminotransferase,ALT,lab test,Biochemistry,7.0,56.0,,300.0,U/L,0.536,,,5107245.0,Analyse sanguine: Quantitative analysis of alanine aminotransferase providing insights into physiological processes. Quantitative analysis of alanine aminotransferase providing insights into physiological processes.
Alanine Aminotransferase,ALT,lab test,Biochemistry,7.0,56.0,,300.0,U/L,0.67,,,5107245.0,Quantitative analysis of alanine aminotransferase providing insights into physiological processes. Plage de référence: 7.0-56.0 U/L
Alanine Aminotransferase,ALT,lab test,Biochemistry,7.0,56.0,,300.0,U/L,0.67,,,5107245.0,Quantitative analysis of alanine aminotransferase providing insights into physiological processes. Valeurs normales: entre 7.0 et 56.0 U/L
Aspartate Aminotransferase,AST,lab test,Biochemistry,10.0,40.0,,300.0,U/L,0.52,,,,Clinical laboratory test measuring aspartate aminotransferase levels to assess health status.
Aspartate Aminotransferase (variante),AST_syn,lab test,Biochemistry,10.0,40.0,,300.0,U/L,0.52,,,,Clinical laboratory test measuring aspartate aminotransferase levels to assess health status.
Aspartate Aminotransferase,AST,lab test,Biochemistry,10.0,40.0,,300.0,U/L,0.41600000000000004,,,,Le test Clinical laboratory test measuring aspartate aminotransferase levels to assess health status. mesure Clinical laboratory test measuring aspartate aminotransferase levels to assess health status.
Aspartate Aminotransferase,AST,lab test,Biochemistry,10.0,40.0,,300.0,U/L,0.41600000000000004,,,,Interprétation clinique du Clinical laboratory test measuring aspartate aminotransferase levels to assess health status. Clinical laboratory test measuring aspartate aminotransferase levels to assess health status.
Aspartate Aminotransferase,AST,lab test,Biochemistry,10.0,40.0,,300.0,U/L,0.52,,,,Clinical laboratory test measuring aspartate aminotransferase levels to assess health status. Plage de référence: 10.0-40.0 U/L
Aspartate Aminotransferase,AST,lab test,Biochemistry,10.0,40.0,,300.0,U/L,0.52,,,,Clinical laboratory test measuring aspartate aminotransferase levels to assess health status. Valeurs normales: entre 10.0 et 40.0 U/L
Alkaline Phosphatase,ALP,lab test,Biochemistry,44.0,147.0,,500.0,U/L,0.3,,,1938483.0,Quantitative analysis of alkaline phosphatase providing insights into physiological processes.
Alkaline Phosphatase (variante),ALP_syn,lab test,Biochemistry,44.0,147.0,,500.0,U/L,0.3,,,1938483.0,Quantitative analysis of alkaline phosphatase providing insights into physiological processes.
Alkaline Phosphatase,ALP,lab test,Biochemistry,44.0,147.0,,500.0,U/L,0.24,,,1938483.0,Analyse sanguine: Quantitative analysis of alkaline phosphatase providing insights into physiological processes. Quantitative analysis of alkaline phosphatase providing insights into physiological processes.
Alkaline Phosphatase,ALP,lab test,Biochemistry,44.0,147.0,,500.0,U/L,0.24,,,1938483.0,Le test Quantitative analysis of alkaline phosphatase providing insights into physiological processes. mesure Quantitative analysis of alkaline phosphatase providing insights into physiological processes.
Alkaline Phosphatase,ALP,lab test,Biochemistry,44.0,147.0,,500.0,U/L,0.3,,,1938483.0,Quantitative analysis of alkaline phosphatase providing insights into physiological processes. Plage de référence: 44.0-147.0 U/L
Alkaline Phosphatase,ALP,lab test,Biochemistry,44.0,147.0,,500.0,U/L,0.3,,,1938483.0,Quantitative analysis of alkaline phosphatase providing insights into physiological processes. Valeurs normales: entre 44.0 et 147.0 U/L
Hypertension,HTN,disease,Cardiovascular,,,,,,0.84,I50.6,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
HTA,HTN_syn,disease,Cardiovascular,,,,,,0.84,I50.6,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Pression artérielle élevée,HTN_syn,disease,Cardiovascular,,,,,,0.84,I50.6,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Hypertension,HTN,disease,Cardiovascular,,,,,,0.672,I50.6,,,"Condition de santé: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Hypertension,HTN,disease,Cardiovascular,,,,,,0.672,I50.6,,,"La maladie Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. est Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Hypertension,HTN,disease,Cardiovascular,,,,,,0.84,I50.6,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Système cardiovasculaire"
Hypertension,HTN,disease,Cardiovascular,,,,,,0.84,I50.6,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Cœur et vaisseaux"
Type 2 Diabetes Mellitus,T2DM,disease,Endocrinology,,,,,,0.92,I82.5,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Type 2 Diabetes Mellitus (variante),T2DM_syn,disease,Endocrinology,,,,,,0.92,I82.5,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Type 2 Diabetes Mellitus,T2DM,disease,Endocrinology,,,,,,0.7360000000000001,I82.5,,,"Condition de santé: Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Type 2 Diabetes Mellitus,T2DM,disease,Endocrinology,,,,,,0.7360000000000001,I82.5,,,"Diagnostic de Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication."
Type 2 Diabetes Mellitus,T2DM,disease,Endocrinology,,,,,,0.92,I82.5,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Système endocrinien"
Type 2 Diabetes Mellitus,T2DM,disease,Endocrinology,,,,,,0.92,I82.5,,,"Chronic health disorder affecting multiple systems, treated with lifestyle changes and medication. Hormones"
