question,reponse,terme_original,type,categorie,type_question,necessite_avertissement
Quels sont les taux normaux de Numération des globules blancs ?,"Les valeurs normales de Numération des globules blancs se situent entre 4.0 et 11.0 10^9/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération des globules blancs,analyse_labo,Hématologie,valeurs_normales,True
Valeurs standards de Numération des globules blancs ?,"Les valeurs normales de Numération des globules blancs se situent entre 4.0 et 11.0 10^9/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération des globules blancs,analyse_labo,Hématologie,valeurs_normales,True
Quand s'inquiéter pour Numération des globules blancs ?,"Pour Numération des globules blancs, les valeurs critiques sont : en dessous de 2.0 10^9/L (seuil bas critique) et au-dessus de 30.0 10^9/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération des globules blancs,analyse_labo,Hématologie,valeurs_critiques,True
"Numération des globules blancs à 7.93 10^9/L, est-ce inquiétant ?","Une valeur de 7.93 10^9/L pour Numération des globules blancs se situe dans la plage normale (4.0-11.0 10^9/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération des globules blancs,analyse_labo,Hématologie,interpretation,True
Que signifie Numération plaquettaire ?,Numération plaquettaire (PLT) est une analyse de laboratoire en Hématologie. Analyse quantitative du/de numération plaquettaire fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 150.0 et 450.0 10^9/L.,Numération plaquettaire,analyse_labo,Hématologie,definition,False
"Je ne connais pas Numération plaquettaire, peux-tu m'aider ?",Numération plaquettaire (PLT) est une analyse de laboratoire en Hématologie. Analyse quantitative du/de numération plaquettaire fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 150.0 et 450.0 10^9/L.,Numération plaquettaire,analyse_labo,Hématologie,definition,False
J'aimerais savoir ce qu'est Numération plaquettaire,Numération plaquettaire (PLT) est une analyse de laboratoire en Hématologie. Analyse quantitative du/de numération plaquettaire fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 150.0 et 450.0 10^9/L.,Numération plaquettaire,analyse_labo,Hématologie,definition,False
Explique PLT,PLT signifie Numération plaquettaire. C'est un terme utilisé en Hématologie.,Numération plaquettaire,analyse_labo,Hématologie,abbreviation,False
Que signifie l'abréviation PLT ?,PLT signifie Numération plaquettaire. C'est un terme utilisé en Hématologie.,Numération plaquettaire,analyse_labo,Hématologie,abbreviation,False
Valeurs de référence de Numération plaquettaire ?,"Les valeurs normales de Numération plaquettaire se situent entre 150.0 et 450.0 10^9/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération plaquettaire,analyse_labo,Hématologie,valeurs_normales,True
Donne-moi les valeurs normales de Numération plaquettaire,"Les valeurs normales de Numération plaquettaire se situent entre 150.0 et 450.0 10^9/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération plaquettaire,analyse_labo,Hématologie,valeurs_normales,True
Valeurs alarmantes de Numération plaquettaire ?,"Pour Numération plaquettaire, les valeurs critiques sont : en dessous de 50.0 10^9/L (seuil bas critique) et au-dessus de 1000.0 10^9/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération plaquettaire,analyse_labo,Hématologie,valeurs_critiques,True
Est-ce que 196.64 10^9/L pour Numération plaquettaire est bon ?,"Une valeur de 196.64 10^9/L pour Numération plaquettaire se situe dans la plage normale (150.0-450.0 10^9/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération plaquettaire,analyse_labo,Hématologie,interpretation,True
"Numération plaquettaire à 180.66 10^9/L, est-ce inquiétant ?","Une valeur de 180.66 10^9/L pour Numération plaquettaire se situe dans la plage normale (150.0-450.0 10^9/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Numération plaquettaire,analyse_labo,Hématologie,interpretation,True
C'est quoi Cholestérol total ?,"Cholestérol total (CT) est une analyse de laboratoire en Biochimie. Mesure du/de cholestérol total dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 3.6 et 5.2 mmol/L.",Cholestérol total,analyse_labo,Biochimie,definition,False
Qu'entend-on par Cholestérol total ?,"Cholestérol total (CT) est une analyse de laboratoire en Biochimie. Mesure du/de cholestérol total dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 3.6 et 5.2 mmol/L.",Cholestérol total,analyse_labo,Biochimie,definition,False
"Cholestérol total, qu'est-ce que c'est exactement ?","Cholestérol total (CT) est une analyse de laboratoire en Biochimie. Mesure du/de cholestérol total dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 3.6 et 5.2 mmol/L.",Cholestérol total,analyse_labo,Biochimie,definition,False
CT veut dire quoi ?,CT signifie Cholestérol total. C'est un terme utilisé en Biochimie.,Cholestérol total,analyse_labo,Biochimie,abbreviation,False
"J'ai vu CT sur mes analyses, c'est quoi ?",CT signifie Cholestérol total. C'est un terme utilisé en Biochimie.,Cholestérol total,analyse_labo,Biochimie,abbreviation,False
C'est quoi les normes pour Cholestérol total ?,"Les valeurs normales de Cholestérol total se situent entre 3.6 et 5.2 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Cholestérol total,analyse_labo,Biochimie,valeurs_normales,True
Quelles sont les valeurs normales de Cholestérol total ?,"Les valeurs normales de Cholestérol total se situent entre 3.6 et 5.2 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Cholestérol total,analyse_labo,Biochimie,valeurs_normales,True
À quel niveau Cholestérol total devient préoccupant ?,"Pour Cholestérol total, les valeurs critiques sont : au-dessus de 6.2 mmol/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Cholestérol total,analyse_labo,Biochimie,valeurs_critiques,True
"Cholestérol total à 4.46 mmol/L, est-ce inquiétant ?","Une valeur de 4.46 mmol/L pour Cholestérol total se situe dans la plage normale (3.6-5.2 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Cholestérol total,analyse_labo,Biochimie,interpretation,True
Est-ce que 3.73 mmol/L pour Cholestérol total est bon ?,"Une valeur de 3.73 mmol/L pour Cholestérol total se situe dans la plage normale (3.6-5.2 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Cholestérol total,analyse_labo,Biochimie,interpretation,True
Qu'entend-on par Lipoprotéines de basse densité ?,Lipoprotéines de basse densité (LDL) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de lipoprotéines de basse densité fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 1.8 et 3.0 mmol/L.,Lipoprotéines de basse densité,analyse_labo,Biochimie,definition,False
Donne-moi la définition de Lipoprotéines de basse densité,Lipoprotéines de basse densité (LDL) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de lipoprotéines de basse densité fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 1.8 et 3.0 mmol/L.,Lipoprotéines de basse densité,analyse_labo,Biochimie,definition,False
"Dans le contexte médical, que signifie Lipoprotéines de basse densité ?",Lipoprotéines de basse densité (LDL) est une analyse de laboratoire en Biochimie. Analyse quantitative du/de lipoprotéines de basse densité fournissant des informations sur les processus physiologiques. Les valeurs normales se situent entre 1.8 et 3.0 mmol/L.,Lipoprotéines de basse densité,analyse_labo,Biochimie,definition,False
C'est quoi LDL ?,LDL signifie Lipoprotéines de basse densité. C'est un terme utilisé en Biochimie.,Lipoprotéines de basse densité,analyse_labo,Biochimie,abbreviation,False
Que signifie l'abréviation LDL ?,LDL signifie Lipoprotéines de basse densité. C'est un terme utilisé en Biochimie.,Lipoprotéines de basse densité,analyse_labo,Biochimie,abbreviation,False
Entre quelles valeurs Lipoprotéines de basse densité doit se situer ?,"Les valeurs normales de Lipoprotéines de basse densité se situent entre 1.8 et 3.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de basse densité,analyse_labo,Biochimie,valeurs_normales,True
Quels sont les taux normaux de Lipoprotéines de basse densité ?,"Les valeurs normales de Lipoprotéines de basse densité se situent entre 1.8 et 3.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de basse densité,analyse_labo,Biochimie,valeurs_normales,True
Limites dangereuses de Lipoprotéines de basse densité ?,"Pour Lipoprotéines de basse densité, les valeurs critiques sont : au-dessus de 4.9 mmol/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de basse densité,analyse_labo,Biochimie,valeurs_critiques,True
"Mon analyse montre Lipoprotéines de basse densité = 2.98 mmol/L, qu'en penses-tu ?","Une valeur de 2.98 mmol/L pour Lipoprotéines de basse densité se situe dans la plage normale (1.8-3.0 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de basse densité,analyse_labo,Biochimie,interpretation,True
"Lipoprotéines de basse densité à 2.84 mmol/L, est-ce inquiétant ?","Une valeur de 2.84 mmol/L pour Lipoprotéines de basse densité se situe dans la plage normale (1.8-3.0 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de basse densité,analyse_labo,Biochimie,interpretation,True
Peux-tu me dire ce qu'est Lipoprotéines de haute densité ?,Lipoprotéines de haute densité (HDL) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de lipoprotéines de haute densité pour évaluer l'état de santé. Les valeurs normales se situent entre 1.0 et 2.0 mmol/L.,Lipoprotéines de haute densité,analyse_labo,Biochimie,definition,False
"Je ne connais pas Lipoprotéines de haute densité, peux-tu m'aider ?",Lipoprotéines de haute densité (HDL) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de lipoprotéines de haute densité pour évaluer l'état de santé. Les valeurs normales se situent entre 1.0 et 2.0 mmol/L.,Lipoprotéines de haute densité,analyse_labo,Biochimie,definition,False
Aide-moi à comprendre Lipoprotéines de haute densité,Lipoprotéines de haute densité (HDL) est une analyse de laboratoire en Biochimie. Analyse de laboratoire clinique mesurant les taux de lipoprotéines de haute densité pour évaluer l'état de santé. Les valeurs normales se situent entre 1.0 et 2.0 mmol/L.,Lipoprotéines de haute densité,analyse_labo,Biochimie,definition,False
HDL veut dire quoi ?,HDL signifie Lipoprotéines de haute densité. C'est un terme utilisé en Biochimie.,Lipoprotéines de haute densité,analyse_labo,Biochimie,abbreviation,False
HDL signifie quoi ?,HDL signifie Lipoprotéines de haute densité. C'est un terme utilisé en Biochimie.,Lipoprotéines de haute densité,analyse_labo,Biochimie,abbreviation,False
Quelle est la norme de Lipoprotéines de haute densité ?,"Les valeurs normales de Lipoprotéines de haute densité se situent entre 1.0 et 2.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de haute densité,analyse_labo,Biochimie,valeurs_normales,True
Mon Lipoprotéines de haute densité est à combien normalement ?,"Les valeurs normales de Lipoprotéines de haute densité se situent entre 1.0 et 2.0 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de haute densité,analyse_labo,Biochimie,valeurs_normales,True
À partir de quand Lipoprotéines de haute densité devient dangereux ?,"Pour Lipoprotéines de haute densité, les valeurs critiques sont : en dessous de 0.4 mmol/L (seuil bas critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de haute densité,analyse_labo,Biochimie,valeurs_critiques,True
"J'ai Lipoprotéines de haute densité à 1.7 mmol/L, c'est normal ?","Une valeur de 1.7 mmol/L pour Lipoprotéines de haute densité se situe dans la plage normale (1.0-2.0 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de haute densité,analyse_labo,Biochimie,interpretation,True
"Mon analyse montre Lipoprotéines de haute densité = 1.61 mmol/L, qu'en penses-tu ?","Une valeur de 1.61 mmol/L pour Lipoprotéines de haute densité se situe dans la plage normale (1.0-2.0 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Lipoprotéines de haute densité,analyse_labo,Biochimie,interpretation,True
Que signifie Triglycérides ?,"Triglycérides (TG) est une analyse de laboratoire en Biochimie. Mesure du/de triglycérides dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 0.5 et 1.7 mmol/L.",Triglycérides,analyse_labo,Biochimie,definition,False
Je voudrais comprendre ce qu'est Triglycérides,"Triglycérides (TG) est une analyse de laboratoire en Biochimie. Mesure du/de triglycérides dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 0.5 et 1.7 mmol/L.",Triglycérides,analyse_labo,Biochimie,definition,False
"Dans le contexte médical, que signifie Triglycérides ?","Triglycérides (TG) est une analyse de laboratoire en Biochimie. Mesure du/de triglycérides dans le sang, utilisée pour diagnostiquer et surveiller diverses affections. Les valeurs normales se situent entre 0.5 et 1.7 mmol/L.",Triglycérides,analyse_labo,Biochimie,definition,False
Que veut dire TG en médecine ?,TG signifie Triglycérides. C'est un terme utilisé en Biochimie.,Triglycérides,analyse_labo,Biochimie,abbreviation,False
Explique TG,TG signifie Triglycérides. C'est un terme utilisé en Biochimie.,Triglycérides,analyse_labo,Biochimie,abbreviation,False
Entre quelles valeurs Triglycérides doit se situer ?,"Les valeurs normales de Triglycérides se situent entre 0.5 et 1.7 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Triglycérides,analyse_labo,Biochimie,valeurs_normales,True
Valeurs standards de Triglycérides ?,"Les valeurs normales de Triglycérides se situent entre 0.5 et 1.7 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Triglycérides,analyse_labo,Biochimie,valeurs_normales,True
À partir de quand Triglycérides devient dangereux ?,"Pour Triglycérides, les valeurs critiques sont : au-dessus de 5.6 mmol/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Triglycérides,analyse_labo,Biochimie,valeurs_critiques,True
"J'ai Triglycérides à 1.51 mmol/L, c'est normal ?","Une valeur de 1.51 mmol/L pour Triglycérides se situe dans la plage normale (0.5-1.7 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Triglycérides,analyse_labo,Biochimie,interpretation,True
"J'ai Triglycérides à 0.77 mmol/L, c'est normal ?","Une valeur de 0.77 mmol/L pour Triglycérides se situe dans la plage normale (0.5-1.7 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Triglycérides,analyse_labo,Biochimie,interpretation,True
Aide-moi à comprendre Glycémie à jeun,Glycémie à jeun (GAJ) est une analyse de laboratoire en Biochimie. Test sanguin standard permettant de détecter des anomalies dans les paramètres de biochimie. Les valeurs normales se situent entre 3.9 et 5.6 mmol/L.,Glycémie à jeun,analyse_labo,Biochimie,definition,False
Pourrais-tu expliquer Glycémie à jeun ?,Glycémie à jeun (GAJ) est une analyse de laboratoire en Biochimie. Test sanguin standard permettant de détecter des anomalies dans les paramètres de biochimie. Les valeurs normales se situent entre 3.9 et 5.6 mmol/L.,Glycémie à jeun,analyse_labo,Biochimie,definition,False
Explique-moi Glycémie à jeun,Glycémie à jeun (GAJ) est une analyse de laboratoire en Biochimie. Test sanguin standard permettant de détecter des anomalies dans les paramètres de biochimie. Les valeurs normales se situent entre 3.9 et 5.6 mmol/L.,Glycémie à jeun,analyse_labo,Biochimie,definition,False
C'est quoi GAJ ?,GAJ signifie Glycémie à jeun. C'est un terme utilisé en Biochimie.,Glycémie à jeun,analyse_labo,Biochimie,abbreviation,False
Quelle est la signification de GAJ ?,GAJ signifie Glycémie à jeun. C'est un terme utilisé en Biochimie.,Glycémie à jeun,analyse_labo,Biochimie,abbreviation,False
Quel est le taux normal de Glycémie à jeun ?,"Les valeurs normales de Glycémie à jeun se situent entre 3.9 et 5.6 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Glycémie à jeun,analyse_labo,Biochimie,valeurs_normales,True
Quelle est la norme de Glycémie à jeun ?,"Les valeurs normales de Glycémie à jeun se situent entre 3.9 et 5.6 mmol/L.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Glycémie à jeun,analyse_labo,Biochimie,valeurs_normales,True
À partir de quand Glycémie à jeun devient dangereux ?,"Pour Glycémie à jeun, les valeurs critiques sont : en dessous de 2.8 mmol/L (seuil bas critique) et au-dessus de 16.7 mmol/L (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Glycémie à jeun,analyse_labo,Biochimie,valeurs_critiques,True
"Glycémie à jeun à 4.57 mmol/L, est-ce inquiétant ?","Une valeur de 4.57 mmol/L pour Glycémie à jeun se situe dans la plage normale (3.9-5.6 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Glycémie à jeun,analyse_labo,Biochimie,interpretation,True
"Mon analyse montre Glycémie à jeun = 4.14 mmol/L, qu'en penses-tu ?","Une valeur de 4.14 mmol/L pour Glycémie à jeun se situe dans la plage normale (3.9-5.6 mmol/L). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Glycémie à jeun,analyse_labo,Biochimie,interpretation,True
Que signifie Hémoglobine glyquée ?,Hémoglobine glyquée (HbA1c) est une analyse de laboratoire en Endocrinologie. Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie. Les valeurs normales se situent entre 4.0 et 5.6 %.,Hémoglobine glyquée,analyse_labo,Endocrinologie,definition,False
Peux-tu me dire ce qu'est Hémoglobine glyquée ?,Hémoglobine glyquée (HbA1c) est une analyse de laboratoire en Endocrinologie. Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie. Les valeurs normales se situent entre 4.0 et 5.6 %.,Hémoglobine glyquée,analyse_labo,Endocrinologie,definition,False
Qu'entend-on par Hémoglobine glyquée ?,Hémoglobine glyquée (HbA1c) est une analyse de laboratoire en Endocrinologie. Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie. Les valeurs normales se situent entre 4.0 et 5.6 %.,Hémoglobine glyquée,analyse_labo,Endocrinologie,definition,False
"J'ai vu HbA1c sur mes analyses, c'est quoi ?",HbA1c signifie Hémoglobine glyquée. C'est un terme utilisé en Endocrinologie.,Hémoglobine glyquée,analyse_labo,Endocrinologie,abbreviation,False
Que veut dire HbA1c en médecine ?,HbA1c signifie Hémoglobine glyquée. C'est un terme utilisé en Endocrinologie.,Hémoglobine glyquée,analyse_labo,Endocrinologie,abbreviation,False
Quel est le taux normal de Hémoglobine glyquée ?,"Les valeurs normales de Hémoglobine glyquée se situent entre 4.0 et 5.6 %.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine glyquée,analyse_labo,Endocrinologie,valeurs_normales,True
Donne-moi les valeurs normales de Hémoglobine glyquée,"Les valeurs normales de Hémoglobine glyquée se situent entre 4.0 et 5.6 %.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine glyquée,analyse_labo,Endocrinologie,valeurs_normales,True
Valeurs alarmantes de Hémoglobine glyquée ?,"Pour Hémoglobine glyquée, les valeurs critiques sont : au-dessus de 9.0 % (seuil haut critique). Ces valeurs nécessitent une attention médicale urgente.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine glyquée,analyse_labo,Endocrinologie,valeurs_critiques,True
"Mon analyse montre Hémoglobine glyquée = 5.6 %, qu'en penses-tu ?","Une valeur de 5.6 % pour Hémoglobine glyquée se situe dans la plage normale (4.0-5.6 %). Cependant, seul votre médecin peut interpréter ce résultat dans votre contexte clinique complet.

⚠️ Important : L'interprétation de résultats d'analyses doit être faite par votre médecin en tenant compte de votre contexte médical complet.",Hémoglobine glyquée,analyse_labo,Endocrinologie,interpretation,True
"Dans le contexte médical, que signifie Hormone thyréostimulante ?",Hormone thyréostimulante (TSH) est une analyse de laboratoire en Endocrinologie. Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie. Les valeurs normales se situent entre 0.4 et 4.0 mUI/L.,Hormone thyréostimulante,analyse_labo,Endocrinologie,definition,False
"En médecine, qu'est-ce que Hormone thyréostimulante ?",Hormone thyréostimulante (TSH) est une analyse de laboratoire en Endocrinologie. Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie. Les valeurs normales se situent entre 0.4 et 4.0 mUI/L.,Hormone thyréostimulante,analyse_labo,Endocrinologie,definition,False
Peux-tu m'expliquer ce qu'est Hormone thyréostimulante ?,Hormone thyréostimulante (TSH) est une analyse de laboratoire en Endocrinologie. Marqueur diagnostique important pour évaluer la fonction et les troubles de endocrinologie. Les valeurs normales se situent entre 0.4 et 4.0 mUI/L.,Hormone thyréostimulante,analyse_labo,Endocrinologie,definition,False
Que signifie l'abréviation TSH ?,TSH signifie Hormone thyréostimulante. C'est un terme utilisé en Endocrinologie.,Hormone thyréostimulante,analyse_labo,Endocrinologie,abbreviation,False
C'est quoi TSH ?,TSH signifie Hormone thyréostimulante. C'est un terme utilisé en Endocrinologie.,Hormone thyréostimulante,analyse_labo,Endocrinologie,abbreviation,False
